,VILLE,REVENU FISCAL DE RÉFÉRENCE,TAUX DE CHÔMAGE,BÉNÉFICIAIRES DU RSA,Salaires mensuels nets moyens,Pourcentage de salariés en CDI,Nombres d'entreprises,ISF moyen par foyer nc,Bénéficiaires de la CAF,Population
5151,"<td><a href=""https://www.linternaute.com/ville/saint-genest-d-ambiere/ville-86221"">Saint-Genest-d'Ambière</a></td>",<td>24 597 €</td>,"<td>9,61 %</td>","<td>1,41 %</td>",<td>nc</td>,"<td>81,82 %</td>",<td>65 entreprises</td>,<td>nc</td>,"<td>13,28 %</td>",<td>1 227 hab.</td>
5152,"<td><a href=""https://www.linternaute.com/ville/teting-sur-nied/ville-57668"">Teting-sur-Nied</a></td>",<td>26 127 €</td>,"<td>10,49 %</td>","<td>2,34 %</td>",<td>nc</td>,<td>89 %</td>,<td>49 entreprises</td>,<td>nc</td>,"<td>16,48 %</td>",<td>1 289 hab.</td>
5153,"<td><a href=""https://www.linternaute.com/ville/vercel-villedieu-le-camp/ville-25601"">Vercel-Villedieu-le-Camp</a></td>",<td>29 086 €</td>,"<td>8,80 %</td>","<td>1,38 %</td>",<td>nc</td>,"<td>81,92 %</td>",<td>113 entreprises</td>,<td>nc</td>,"<td>18,39 %</td>",<td>1 616 hab.</td>
5154,"<td><a href=""https://www.linternaute.com/ville/baraqueville/ville-12056"">Baraqueville</a></td>",<td>25 881 €</td>,"<td>7,84 %</td>","<td>1,11 %</td>","<td>1 986,37 €</td>","<td>88,01 %</td>",<td>252 entreprises</td>,<td>nc</td>,"<td>16,32 %</td>",<td>3 144 hab.</td>
5155,"<td><a href=""https://www.linternaute.com/ville/chavagne/ville-35076"">Chavagne</a></td>",<td>29 313 €</td>,"<td>8,49 %</td>","<td>1,19 %</td>","<td>2 304,32 €</td>","<td>86,20 %</td>",<td>213 entreprises</td>,<td>nc</td>,"<td>17,99 %</td>",<td>4 187 hab.</td>
5156,"<td><a href=""https://www.linternaute.com/ville/coudes/ville-63121"">Coudes</a></td>",<td>27 110 €</td>,"<td>10,88 %</td>","<td>1,26 %</td>",<td>nc</td>,"<td>85,27 %</td>",<td>82 entreprises</td>,<td>nc</td>,"<td>19,46 %</td>",<td>1 270 hab.</td>
5157,"<td><a href=""https://www.linternaute.com/ville/fonsorbes/ville-31187"">Fonsorbes</a></td>",<td>31 891 €</td>,"<td>9,90 %</td>","<td>1,59 %</td>","<td>2 685,23 €</td>","<td>90,31 %</td>",<td>760 entreprises</td>,<td>nc</td>,"<td>20,63 %</td>",<td>12 036 hab.</td>
5158,"<td><a href=""https://www.linternaute.com/ville/foucherans/ville-39233"">Foucherans</a></td>",<td>25 929 €</td>,"<td>9,81 %</td>","<td>1,02 %</td>","<td>2 096,17 €</td>","<td>86,60 %</td>",<td>169 entreprises</td>,<td>nc</td>,"<td>15,23 %</td>",<td>2 242 hab.</td>
5159,"<td><a href=""https://www.linternaute.com/ville/la-motte-servolex/ville-73179"">La Motte-Servolex</a></td>",<td>31 468 €</td>,"<td>9,11 %</td>","<td>0,91 %</td>","<td>2 387,99 €</td>","<td>84,23 %</td>",<td>974 entreprises</td>,<td>nc</td>,"<td>17,05 %</td>",<td>11 932 hab.</td>
5160,"<td><a href=""https://www.linternaute.com/ville/lalbenque/ville-46148"">Lalbenque</a></td>",<td>26 656 €</td>,<td>9 %</td>,"<td>1,51 %</td>",<td>nc</td>,"<td>84,84 %</td>",<td>162 entreprises</td>,<td>nc</td>,"<td>16,30 %</td>",<td>1 735 hab.</td>
5161,"<td><a href=""https://www.linternaute.com/ville/le-montsaugeonnais/ville-52405"">Le Montsaugeonnais</a></td>",<td>24 549 €</td>,"<td>12,59 %</td>","<td>1,18 %</td>",<td>nc</td>,"<td>87,59 %</td>",<td>93 entreprises</td>,<td>nc</td>,"<td>17,26 %</td>",<td>1 227 hab.</td>
5162,"<td><a href=""https://www.linternaute.com/ville/maillane/ville-13052"">Maillane</a></td>",<td>29 007 €</td>,"<td>9,52 %</td>","<td>1,76 %</td>","<td>2 252,69 €</td>","<td>87,53 %</td>",<td>239 entreprises</td>,<td>nc</td>,"<td>16,84 %</td>",<td>2 625 hab.</td>
5163,"<td><a href=""https://www.linternaute.com/ville/marsas/ville-33272"">Marsas</a></td>",<td>23 787 €</td>,"<td>10,80 %</td>","<td>1,65 %</td>",<td>nc</td>,"<td>87,81 %</td>",<td>95 entreprises</td>,<td>nc</td>,"<td>15,91 %</td>",<td>1 213 hab.</td>
5164,"<td><a href=""https://www.linternaute.com/ville/maze-milon/ville-49194"">Mazé-Milon</a></td>",<td>26 902 €</td>,"<td>8,85 %</td>","<td>0,96 %</td>","<td>2 134,80 €</td>","<td>87,91 %</td>",<td>283 entreprises</td>,<td>nc</td>,"<td>15,90 %</td>",<td>5 815 hab.</td>
5165,"<td><a href=""https://www.linternaute.com/ville/nivolas-vermelle/ville-38276"">Nivolas-Vermelle</a></td>",<td>28 226 €</td>,"<td>9,32 %</td>","<td>1,40 %</td>","<td>2 434,90 €</td>","<td>86,70 %</td>",<td>266 entreprises</td>,<td>nc</td>,"<td>18,77 %</td>",<td>2 649 hab.</td>
5166,"<td><a href=""https://www.linternaute.com/ville/palinges/ville-71340"">Palinges</a></td>",<td>23 472 €</td>,"<td>10,60 %</td>","<td>1,19 %</td>",<td>nc</td>,"<td>87,50 %</td>",<td>61 entreprises</td>,<td>nc</td>,"<td>14,47 %</td>",<td>1 513 hab.</td>
5167,"<td><a href=""https://www.linternaute.com/ville/peille/ville-06091"">Peille</a></td>",<td>26 373 €</td>,"<td>9,94 %</td>","<td>1,48 %</td>","<td>2 163,09 €</td>","<td>87,76 %</td>",<td>197 entreprises</td>,<td>nc</td>,"<td>14,51 %</td>",<td>2 373 hab.</td>
5168,"<td><a href=""https://www.linternaute.com/ville/rives-d-autise/ville-85162"">Rives-d'Autise</a></td>",<td>25 150 €</td>,"<td>8,42 %</td>","<td>0,76 %</td>","<td>2 012,36 €</td>","<td>85,77 %</td>",<td>107 entreprises</td>,<td>nc</td>,"<td>16,57 %</td>",<td>2 104 hab.</td>
5169,"<td><a href=""https://www.linternaute.com/ville/sotta/ville-2A288"">Sotta</a></td>",<td>24 242 €</td>,"<td>14,85 %</td>","<td>1,50 %</td>",<td>nc</td>,"<td>89,95 %</td>",<td>194 entreprises</td>,<td>nc</td>,"<td>15,20 %</td>",<td>1 373 hab.</td>
5170,"<td><a href=""https://www.linternaute.com/ville/souffelweyersheim/ville-67471"">Souffelweyersheim</a></td>",<td>33 410 €</td>,"<td>10,57 %</td>","<td>1,81 %</td>","<td>2 557,14 €</td>","<td>89,07 %</td>",<td>566 entreprises</td>,<td>nc</td>,<td>17 %</td>,<td>8 005 hab.</td>
5171,"<td><a href=""https://www.linternaute.com/ville/vendenheim/ville-67506"">Vendenheim</a></td>",<td>32 249 €</td>,"<td>9,36 %</td>","<td>2,31 %</td>","<td>2 498,63 €</td>","<td>88,62 %</td>",<td>543 entreprises</td>,<td>nc</td>,"<td>16,76 %</td>",<td>5 817 hab.</td>
5172,"<td><a href=""https://www.linternaute.com/ville/bouzigues/ville-34039"">Bouzigues</a></td>",<td>33 010 €</td>,"<td>12,67 %</td>","<td>1,95 %</td>",<td>nc</td>,"<td>83,90 %</td>",<td>180 entreprises</td>,<td>nc</td>,"<td>14,61 %</td>",<td>1 650 hab.</td>
5173,"<td><a href=""https://www.linternaute.com/ville/brunoy/ville-91114"">Brunoy</a></td>",<td>34 985 €</td>,"<td>9,05 %</td>","<td>2,12 %</td>","<td>2 920,13 €</td>","<td>88,42 %</td>",<td>1 891 entreprises</td>,<td>9 135 €</td>,"<td>17,05 %</td>",<td>25 354 hab.</td>
5174,"<td><a href=""https://www.linternaute.com/ville/guilers/ville-29069"">Guilers</a></td>",<td>29 872 €</td>,"<td>8,89 %</td>","<td>0,96 %</td>","<td>2 228,38 €</td>","<td>86,57 %</td>",<td>294 entreprises</td>,<td>nc</td>,"<td>16,76 %</td>",<td>7 987 hab.</td>
5175,"<td><a href=""https://www.linternaute.com/ville/henon/ville-22079"">Hénon</a></td>",<td>26 424 €</td>,"<td>8,70 %</td>","<td>0,79 %</td>","<td>2 007,62 €</td>","<td>83,77 %</td>",<td>93 entreprises</td>,<td>nc</td>,"<td>14,73 %</td>",<td>2 246 hab.</td>
5176,"<td><a href=""https://www.linternaute.com/ville/ibos/ville-65226"">Ibos</a></td>",<td>27 780 €</td>,"<td>7,71 %</td>","<td>2,37 %</td>","<td>2 301,82 €</td>","<td>86,18 %</td>",<td>324 entreprises</td>,<td>nc</td>,"<td>14,73 %</td>",<td>2 900 hab.</td>
5177,"<td><a href=""https://www.linternaute.com/ville/la-grande-paroisse/ville-77210"">La Grande-Paroisse</a></td>",<td>27 343 €</td>,"<td>10,29 %</td>","<td>1,45 %</td>","<td>2 293,17 €</td>","<td>89,28 %</td>",<td>130 entreprises</td>,<td>nc</td>,"<td>16,27 %</td>",<td>2 809 hab.</td>
5178,"<td><a href=""https://www.linternaute.com/ville/saint-marcel-les-annonay/ville-07265"">Saint-Marcel-lès-Annonay</a></td>",<td>24 868 €</td>,"<td>8,03 %</td>","<td>1,16 %</td>",<td>nc</td>,"<td>81,85 %</td>",<td>57 entreprises</td>,<td>nc</td>,"<td>16,47 %</td>",<td>1 403 hab.</td>
5179,"<td><a href=""https://www.linternaute.com/ville/sereilhac/ville-87191"">Séreilhac</a></td>",<td>24 144 €</td>,"<td>6,94 %</td>","<td>2,61 %</td>",<td>nc</td>,"<td>89,77 %</td>",<td>118 entreprises</td>,<td>nc</td>,"<td>16,19 %</td>",<td>1 990 hab.</td>
5180,"<td><a href=""https://www.linternaute.com/ville/thorigny/ville-85291"">Thorigny</a></td>",<td>23 093 €</td>,"<td>7,72 %</td>","<td>1,14 %</td>",<td>nc</td>,"<td>84,40 %</td>",<td>63 entreprises</td>,<td>nc</td>,"<td>19,42 %</td>",<td>1 231 hab.</td>
5181,"<td><a href=""https://www.linternaute.com/ville/beynat/ville-19023"">Beynat</a></td>",<td>20 639 €</td>,"<td>10,64 %</td>","<td>0,72 %</td>",<td>nc</td>,<td>86 %</td>,<td>106 entreprises</td>,<td>nc</td>,"<td>16,32 %</td>",<td>1 245 hab.</td>
5182,"<td><a href=""https://www.linternaute.com/ville/bourgs-sur-colagne/ville-48099"">Bourgs sur Colagne</a></td>",<td>22 923 €</td>,"<td>5,75 %</td>","<td>0,96 %</td>","<td>1 981,56 €</td>","<td>87,76 %</td>",<td>103 entreprises</td>,<td>nc</td>,"<td>18,02 %</td>",<td>2 115 hab.</td>
5183,"<td><a href=""https://www.linternaute.com/ville/champagne-au-mont-d-or/ville-69040"">Champagne-au-Mont-d'Or</a></td>",<td>38 860 €</td>,"<td>12,04 %</td>","<td>2,21 %</td>","<td>2 871,72 €</td>",<td>90 %</td>,<td>890 entreprises</td>,<td>nc</td>,"<td>19,99 %</td>",<td>5 570 hab.</td>
5184,"<td><a href=""https://www.linternaute.com/ville/dompaire/ville-88151"">Dompaire</a></td>",<td>24 305 €</td>,"<td>8,37 %</td>","<td>1,17 %</td>",<td>nc</td>,"<td>82,81 %</td>",<td>60 entreprises</td>,<td>nc</td>,"<td>18,95 %</td>",<td>1 128 hab.</td>
5185,"<td><a href=""https://www.linternaute.com/ville/les-clayes-sous-bois/ville-78165"">Les Clayes-sous-Bois</a></td>",<td>32 351 €</td>,"<td>10,44 %</td>","<td>1,64 %</td>","<td>2 777,33 €</td>","<td>88,81 %</td>",<td>1 068 entreprises</td>,<td>nc</td>,"<td>16,45 %</td>",<td>17 560 hab.</td>
5186,"<td><a href=""https://www.linternaute.com/ville/lesquin/ville-59343"">Lesquin</a></td>",<td>31 425 €</td>,"<td>8,57 %</td>","<td>1,78 %</td>","<td>2 537,51 €</td>","<td>89,11 %</td>",<td>772 entreprises</td>,<td>nc</td>,"<td>20,23 %</td>",<td>8 635 hab.</td>
5187,"<td><a href=""https://www.linternaute.com/ville/may-sur-orne/ville-14408"">May-sur-Orne</a></td>",<td>27 442 €</td>,"<td>10,92 %</td>","<td>1,54 %</td>",<td>nc</td>,"<td>88,87 %</td>",<td>99 entreprises</td>,<td>nc</td>,"<td>16,63 %</td>",<td>1 967 hab.</td>
5188,"<td><a href=""https://www.linternaute.com/ville/saint-priest-taurion/ville-87178"">Saint-Priest-Taurion</a></td>",<td>25 839 €</td>,"<td>8,37 %</td>","<td>1,35 %</td>","<td>2 039,22 €</td>","<td>88,61 %</td>",<td>124 entreprises</td>,<td>nc</td>,"<td>14,58 %</td>",<td>2 886 hab.</td>
5189,"<td><a href=""https://www.linternaute.com/ville/souprosse/ville-40309"">Souprosse</a></td>",<td>22 518 €</td>,"<td>9,35 %</td>","<td>1,96 %</td>",<td>nc</td>,"<td>86,27 %</td>",<td>72 entreprises</td>,<td>nc</td>,"<td>13,51 %</td>",<td>1 133 hab.</td>
5190,"<td><a href=""https://www.linternaute.com/ville/tregastel/ville-22353"">Trégastel</a></td>",<td>30 185 €</td>,"<td>15,30 %</td>","<td>1,26 %</td>","<td>2 437,38 €</td>","<td>85,38 %</td>",<td>188 entreprises</td>,<td>nc</td>,"<td>12,82 %</td>",<td>2 501 hab.</td>
5191,"<td><a href=""https://www.linternaute.com/ville/corbas/ville-69273"">Corbas</a></td>",<td>30 114 €</td>,"<td>10,72 %</td>","<td>1,30 %</td>","<td>2 582,84 €</td>","<td>88,80 %</td>",<td>961 entreprises</td>,<td>nc</td>,"<td>16,36 %</td>",<td>11 108 hab.</td>
5192,"<td><a href=""https://www.linternaute.com/ville/homblieres/ville-02383"">Homblières</a></td>",<td>28 180 €</td>,"<td>11,18 %</td>","<td>2,69 %</td>",<td>nc</td>,"<td>90,02 %</td>",<td>78 entreprises</td>,<td>nc</td>,"<td>16,87 %</td>",<td>1 456 hab.</td>
5193,"<td><a href=""https://www.linternaute.com/ville/montfort-sur-meu/ville-35188"">Montfort-sur-Meu</a></td>",<td>30 294 €</td>,"<td>8,04 %</td>","<td>1,12 %</td>","<td>2 323,81 €</td>","<td>85,66 %</td>",<td>383 entreprises</td>,<td>nc</td>,"<td>18,09 %</td>",<td>6 691 hab.</td>
5194,"<td><a href=""https://www.linternaute.com/ville/tassin-la-demi-lune/ville-69244"">Tassin-la-Demi-Lune</a></td>",<td>39 724 €</td>,<td>10 %</td>,"<td>1,52 %</td>","<td>3 044,56 €</td>","<td>86,87 %</td>",<td>2 360 entreprises</td>,<td>9 415 €</td>,"<td>18,34 %</td>",<td>22 403 hab.</td>
5195,"<td><a href=""https://www.linternaute.com/ville/urzy/ville-58300"">Urzy</a></td>",<td>27 462 €</td>,"<td>9,89 %</td>","<td>1,49 %</td>",<td>nc</td>,"<td>86,95 %</td>",<td>54 entreprises</td>,<td>nc</td>,"<td>16,32 %</td>",<td>1 749 hab.</td>
5196,"<td><a href=""https://www.linternaute.com/ville/yvignac-la-tour/ville-22391"">Yvignac-la-Tour</a></td>",<td>22 589 €</td>,"<td>9,26 %</td>","<td>1,42 %</td>",<td>nc</td>,"<td>84,65 %</td>",<td>41 entreprises</td>,<td>nc</td>,"<td>13,82 %</td>",<td>1 147 hab.</td>
5197,"<td><a href=""https://www.linternaute.com/ville/bassillac-et-auberoche/ville-24026"">Bassillac et Auberoche</a></td>",<td>25 170 €</td>,"<td>7,02 %</td>","<td>1,02 %</td>","<td>2 029,90 €</td>","<td>87,77 %</td>",<td>251 entreprises</td>,<td>nc</td>,"<td>15,53 %</td>",<td>4 456 hab.</td>
5198,"<td><a href=""https://www.linternaute.com/ville/blaringhem/ville-59084"">Blaringhem</a></td>",<td>25 296 €</td>,"<td>9,51 %</td>","<td>0,83 %</td>","<td>2 144,69 €</td>","<td>85,91 %</td>",<td>111 entreprises</td>,<td>nc</td>,"<td>16,12 %</td>",<td>2 064 hab.</td>
5199,"<td><a href=""https://www.linternaute.com/ville/couzeix/ville-87050"">Couzeix</a></td>",<td>30 741 €</td>,"<td>7,40 %</td>","<td>2,35 %</td>","<td>2 333,66 €</td>","<td>88,85 %</td>",<td>590 entreprises</td>,<td>nc</td>,"<td>16,87 %</td>",<td>9 349 hab.</td>
5200,"<td><a href=""https://www.linternaute.com/ville/etrembieres/ville-74118"">Étrembières</a></td>",<td>42 324 €</td>,"<td>12,40 %</td>","<td>2,15 %</td>",<td>nc</td>,"<td>83,80 %</td>",<td>157 entreprises</td>,<td>nc</td>,"<td>11,46 %</td>",<td>2 501 hab.</td>
5201,"<td><a href=""https://www.linternaute.com/ville/mellac/ville-29147"">Mellac</a></td>",<td>26 807 €</td>,"<td>8,66 %</td>","<td>0,80 %</td>","<td>2 140,81 €</td>","<td>85,76 %</td>",<td>208 entreprises</td>,<td>nc</td>,"<td>17,30 %</td>",<td>3 183 hab.</td>
5202,"<td><a href=""https://www.linternaute.com/ville/pleugueneuc/ville-35226"">Pleugueneuc</a></td>",<td>23 452 €</td>,"<td>9,23 %</td>","<td>0,57 %</td>",<td>nc</td>,"<td>85,93 %</td>",<td>101 entreprises</td>,<td>nc</td>,"<td>18,42 %</td>",<td>1 914 hab.</td>
5203,"<td><a href=""https://www.linternaute.com/ville/ploubazlanec/ville-22210"">Ploubazlanec</a></td>",<td>35 960 €</td>,"<td>11,54 %</td>","<td>1,51 %</td>","<td>2 400,89 €</td>","<td>79,41 %</td>",<td>188 entreprises</td>,<td>nc</td>,"<td>11,94 %</td>",<td>3 029 hab.</td>
5204,"<td><a href=""https://www.linternaute.com/ville/saint-alban/ville-22273"">Saint-Alban</a></td>",<td>27 574 €</td>,<td>12 %</td>,"<td>0,87 %</td>","<td>2 013,35 €</td>","<td>85,24 %</td>",<td>205 entreprises</td>,<td>nc</td>,"<td>13,14 %</td>",<td>2 160 hab.</td>
5205,"<td><a href=""https://www.linternaute.com/ville/saint-urbain/ville-85273"">Saint-Urbain</a></td>",<td>24 349 €</td>,"<td>10,62 %</td>","<td>0,64 %</td>",<td>nc</td>,"<td>85,94 %</td>",<td>93 entreprises</td>,<td>nc</td>,"<td>16,23 %</td>",<td>1 849 hab.</td>
5206,"<td><a href=""https://www.linternaute.com/ville/sainte-anne-d-auray/ville-56263"">Sainte-Anne-d'Auray</a></td>",<td>26 018 €</td>,"<td>8,02 %</td>","<td>1,08 %</td>","<td>2 267,25 €</td>","<td>86,54 %</td>",<td>166 entreprises</td>,<td>nc</td>,"<td>18,38 %</td>",<td>2 738 hab.</td>
5207,"<td><a href=""https://www.linternaute.com/ville/wittisheim/ville-67547"">Wittisheim</a></td>",<td>26 885 €</td>,"<td>10,05 %</td>","<td>1,46 %</td>","<td>2 180,24 €</td>","<td>86,23 %</td>",<td>114 entreprises</td>,<td>nc</td>,"<td>13,37 %</td>",<td>2 058 hab.</td>
5208,"<td><a href=""https://www.linternaute.com/ville/bussieres/ville-42029"">Bussières</a></td>",<td>22 668 €</td>,"<td>7,95 %</td>","<td>0,92 %</td>",<td>nc</td>,"<td>85,16 %</td>",<td>85 entreprises</td>,<td>nc</td>,"<td>17,37 %</td>",<td>1 533 hab.</td>
5209,"<td><a href=""https://www.linternaute.com/ville/le-breuil-sur-couze/ville-63052"">Le Breuil-sur-Couze</a></td>",<td>24 476 €</td>,"<td>11,98 %</td>","<td>1,44 %</td>",<td>nc</td>,"<td>87,44 %</td>",<td>56 entreprises</td>,<td>nc</td>,"<td>17,13 %</td>",<td>1 039 hab.</td>
5210,"<td><a href=""https://www.linternaute.com/ville/mareuil-sur-cher/ville-41126"">Mareuil-sur-Cher</a></td>",<td>23 332 €</td>,"<td>7,16 %</td>","<td>1,73 %</td>",<td>nc</td>,"<td>79,03 %</td>",<td>53 entreprises</td>,<td>nc</td>,"<td>13,73 %</td>",<td>1 153 hab.</td>
5211,"<td><a href=""https://www.linternaute.com/ville/pont-de-l-isere/ville-26250"">Pont-de-l'Isère</a></td>",<td>26 558 €</td>,"<td>9,45 %</td>","<td>0,92 %</td>","<td>2 151,79 €</td>","<td>88,90 %</td>",<td>302 entreprises</td>,<td>nc</td>,"<td>18,22 %</td>",<td>3 538 hab.</td>
5212,"<td><a href=""https://www.linternaute.com/ville/premilhat/ville-03211"">Prémilhat</a></td>",<td>27 390 €</td>,"<td>8,91 %</td>","<td>1,56 %</td>","<td>2 174,34 €</td>","<td>90,63 %</td>",<td>115 entreprises</td>,<td>nc</td>,"<td>19,66 %</td>",<td>2 482 hab.</td>
5213,"<td><a href=""https://www.linternaute.com/ville/rixheim/ville-68278"">Rixheim</a></td>",<td>34 271 €</td>,"<td>11,19 %</td>","<td>1,61 %</td>","<td>2 284,93 €</td>","<td>89,30 %</td>",<td>873 entreprises</td>,<td>nc</td>,"<td>15,20 %</td>",<td>14 071 hab.</td>
5214,"<td><a href=""https://www.linternaute.com/ville/saint-sulpice-sur-risle/ville-61456"">Saint-Sulpice-sur-Risle</a></td>",<td>27 505 €</td>,"<td>13,10 %</td>","<td>1,62 %</td>",<td>nc</td>,"<td>87,57 %</td>",<td>96 entreprises</td>,<td>nc</td>,"<td>13,11 %</td>",<td>1 667 hab.</td>
5215,"<td><a href=""https://www.linternaute.com/ville/sassay/ville-41237"">Sassay</a></td>",<td>24 289 €</td>,"<td>9,92 %</td>","<td>2,21 %</td>",<td>nc</td>,"<td>87,34 %</td>",<td>44 entreprises</td>,<td>nc</td>,"<td>15,87 %</td>",<td>1 043 hab.</td>
5216,"<td><a href=""https://www.linternaute.com/ville/tramayes/ville-71545"">Tramayes</a></td>",<td>24 961 €</td>,"<td>8,01 %</td>","<td>1,70 %</td>",<td>nc</td>,"<td>80,08 %</td>",<td>95 entreprises</td>,<td>nc</td>,"<td>16,95 %</td>",<td>1 060 hab.</td>
5217,"<td><a href=""https://www.linternaute.com/ville/clapiers/ville-34077"">Clapiers</a></td>",<td>37 651 €</td>,"<td>12,44 %</td>","<td>1,63 %</td>","<td>2 867,99 €</td>","<td>88,58 %</td>",<td>557 entreprises</td>,<td>nc</td>,"<td>19,31 %</td>",<td>5 431 hab.</td>
5218,"<td><a href=""https://www.linternaute.com/ville/flize/ville-08173"">Flize</a></td>",<td>26 315 €</td>,"<td>9,84 %</td>","<td>1,39 %</td>",<td>nc</td>,"<td>87,07 %</td>",<td>82 entreprises</td>,<td>nc</td>,"<td>16,32 %</td>",<td>1 722 hab.</td>
5219,"<td><a href=""https://www.linternaute.com/ville/ruffiac/ville-56200"">Ruffiac</a></td>",<td>22 929 €</td>,"<td>7,73 %</td>","<td>1,23 %</td>",<td>nc</td>,"<td>81,74 %</td>",<td>72 entreprises</td>,<td>nc</td>,"<td>13,79 %</td>",<td>1 393 hab.</td>
5220,"<td><a href=""https://www.linternaute.com/ville/saint-denis-de-cabanne/ville-42215"">Saint-Denis-de-Cabanne</a></td>",<td>23 539 €</td>,"<td>7,84 %</td>","<td>1,27 %</td>",<td>nc</td>,"<td>84,30 %</td>",<td>78 entreprises</td>,<td>nc</td>,"<td>17,70 %</td>",<td>1 256 hab.</td>
5221,"<td><a href=""https://www.linternaute.com/ville/sanilhac/ville-24312"">Sanilhac</a></td>",<td>29 072 €</td>,"<td>8,07 %</td>","<td>1,54 %</td>","<td>2 142,06 €</td>","<td>88,25 %</td>",<td>344 entreprises</td>,<td>nc</td>,"<td>17,12 %</td>",<td>4 576 hab.</td>
5222,"<td><a href=""https://www.linternaute.com/ville/caudecoste/ville-47060"">Caudecoste</a></td>",<td>23 397 €</td>,"<td>11,13 %</td>","<td>1,08 %</td>",<td>nc</td>,"<td>85,71 %</td>",<td>54 entreprises</td>,<td>nc</td>,"<td>16,14 %</td>",<td>1 091 hab.</td>
5223,"<td><a href=""https://www.linternaute.com/ville/charnay-les-macon/ville-71105"">Charnay-lès-Mâcon</a></td>",<td>30 924 €</td>,"<td>8,96 %</td>","<td>1,11 %</td>","<td>2 310,19 €</td>","<td>87,17 %</td>",<td>647 entreprises</td>,<td>nc</td>,"<td>19,14 %</td>",<td>7 559 hab.</td>
5224,"<td><a href=""https://www.linternaute.com/ville/codognan/ville-30083"">Codognan</a></td>",<td>28 577 €</td>,"<td>10,39 %</td>","<td>1,78 %</td>","<td>2 333,90 €</td>","<td>87,86 %</td>",<td>230 entreprises</td>,<td>nc</td>,"<td>16,05 %</td>",<td>2 418 hab.</td>
5225,"<td><a href=""https://www.linternaute.com/ville/la-roche-sur-foron/ville-74224"">La Roche-sur-Foron</a></td>",<td>33 944 €</td>,"<td>9,31 %</td>","<td>1,11 %</td>","<td>2 290,80 €</td>","<td>85,87 %</td>",<td>917 entreprises</td>,<td>nc</td>,"<td>17,59 %</td>",<td>11 175 hab.</td>
5226,"<td><a href=""https://www.linternaute.com/ville/le-tholy/ville-88470"">Le Tholy</a></td>",<td>24 035 €</td>,"<td>12,14 %</td>","<td>1,03 %</td>",<td>nc</td>,"<td>87,15 %</td>",<td>112 entreprises</td>,<td>nc</td>,"<td>14,34 %</td>",<td>1 566 hab.</td>
5227,"<td><a href=""https://www.linternaute.com/ville/pleneuf-val-andre/ville-22186"">Pléneuf-Val-André</a></td>",<td>32 696 €</td>,"<td>10,89 %</td>","<td>1,64 %</td>","<td>2 309,20 €</td>","<td>86,34 %</td>",<td>415 entreprises</td>,<td>nc</td>,"<td>14,62 %</td>",<td>4 078 hab.</td>
5228,"<td><a href=""https://www.linternaute.com/ville/saint-barthelemy-de-vals/ville-26295"">Saint-Barthélemy-de-Vals</a></td>",<td>27 146 €</td>,"<td>11,49 %</td>","<td>1,29 %</td>",<td>nc</td>,"<td>87,24 %</td>",<td>107 entreprises</td>,<td>nc</td>,"<td>15,50 %</td>",<td>1 863 hab.</td>
5229,"<td><a href=""https://www.linternaute.com/ville/saint-mars-d-outille/ville-72299"">Saint-Mars-d'Outillé</a></td>",<td>25 689 €</td>,"<td>8,42 %</td>","<td>0,57 %</td>","<td>2 078,89 €</td>","<td>85,17 %</td>",<td>104 entreprises</td>,<td>nc</td>,"<td>17,84 %</td>",<td>2 429 hab.</td>
5230,"<td><a href=""https://www.linternaute.com/ville/steenwerck/ville-59581"">Steenwerck</a></td>",<td>28 572 €</td>,"<td>9,47 %</td>","<td>1,33 %</td>","<td>2 221,45 €</td>","<td>86,83 %</td>",<td>226 entreprises</td>,<td>nc</td>,"<td>14,98 %</td>",<td>3 669 hab.</td>
5231,"<td><a href=""https://www.linternaute.com/ville/templemars/ville-59585"">Templemars</a></td>",<td>30 742 €</td>,"<td>9,50 %</td>","<td>2,74 %</td>","<td>2 427,71 €</td>","<td>91,42 %</td>",<td>348 entreprises</td>,<td>nc</td>,"<td>19,34 %</td>",<td>3 401 hab.</td>
5232,"<td><a href=""https://www.linternaute.com/ville/tignieu-jameyzieu/ville-38507"">Tignieu-Jameyzieu</a></td>",<td>29 183 €</td>,"<td>10,50 %</td>","<td>0,86 %</td>","<td>2 376,08 €</td>","<td>87,62 %</td>",<td>631 entreprises</td>,<td>nc</td>,"<td>17,25 %</td>",<td>7 385 hab.</td>
5233,"<td><a href=""https://www.linternaute.com/ville/essert/ville-90039"">Essert</a></td>",<td>33 330 €</td>,"<td>9,73 %</td>","<td>2,14 %</td>","<td>2 725,59 €</td>","<td>85,80 %</td>",<td>170 entreprises</td>,<td>nc</td>,"<td>16,05 %</td>",<td>3 325 hab.</td>
5234,"<td><a href=""https://www.linternaute.com/ville/la-chapelle-la-reine/ville-77088"">La Chapelle-la-Reine</a></td>",<td>30 483 €</td>,"<td>12,45 %</td>","<td>1,47 %</td>","<td>2 438,85 €</td>","<td>87,79 %</td>",<td>177 entreprises</td>,<td>nc</td>,"<td>17,16 %</td>",<td>2 400 hab.</td>
